ORCIDiD,name,country,education,works
https://orcid.org/0000-0002-7302-0286,Erica Rothlind,,,1
https://orcid.org/0000-0001-9832-4940,Miguel-Angel Tobias-Martinez,Mexico,Universidade Federal do Paran¨¢,13
https://orcid.org/0000-0001-9670-2450,Dr Felicia Zhang,Australia,University of Canberra,17
https://orcid.org/0000-0001-9220-6628,Warren Whipple,,,2
https://orcid.org/0000-0003-4517-1148,MARIANNA VILLANO,,,2
https://orcid.org/0000-0003-1435-6262,Ciprian Apetrei,,,2
https://orcid.org/0000-0003-0129-7638,Taormina Lepore,,University of Colorado,4
https://orcid.org/0000-0002-3126-1460,Lynn Sims,,,7
https://orcid.org/0000-0003-0549-3097,Jeremy Dobbin,South Africa,,5
https://orcid.org/0000-0001-6224-3364,Kolea Zimmerman,United States,Duke University,6
https://orcid.org/0000-0002-0160-4469,MUSTAFA KAYA,,,8
https://orcid.org/0000-0002-7611-7577,Geert Kessels,Netherlands,,3
https://orcid.org/0000-0002-3431-5698,Stephen C. Pelsue,,Northland College,18
https://orcid.org/0000-0002-0188-4587,Witold Kot,Denmark,,32
https://orcid.org/0000-0001-8085-0088,"Garcia, Consol",Spain,Universitat de Barcelona,12
https://orcid.org/0000-0002-6788-7828,Stephany Nataly Buenrostro Mazon,,,13
https://orcid.org/0000-0002-6839-7994,Craig Richter,,,13
https://orcid.org/0000-0002-7707-3756,Max Kemman,,Utrecht University,12
https://orcid.org/0000-0002-2068-3908,Naama Kanarek,,Hebrew University of Jerusalem,11
https://orcid.org/0000-0002-1458-6503,Tamsyn Derrick,,University of Bristol,15
https://orcid.org/0000-0002-6731-8123,Cort¨¦s Mariela,,,46
https://orcid.org/0000-0001-5969-4797,G. M. Behery,,Suez Canal University,12
https://orcid.org/0000-0003-2796-9949,Erik Coats,,Washington State University,40
https://orcid.org/0000-0001-6479-3968,Kahtan Aziz,,University of Bristol Faculty of Engineering,15
https://orcid.org/0000-0002-0533-6035,William Hedley Thompson,Sweden,,13
https://orcid.org/0000-0002-4356-3837,Holly M. Bik,United States,King's College London,42
https://orcid.org/0000-0001-9950-2497,Colin B. Phillips,United States,University of Minnesota,7
https://orcid.org/0000-0002-9781-0821,Thomas Wotte,,,11
https://orcid.org/0000-0001-5915-5697,Elsa Alvaro,United States,Universidad Complutense de Madrid,11
https://orcid.org/0000-0002-4562-9174,Matthias Esch,Germany,Philipps-Universitat Marburg Fachbereich Medizin,6
https://orcid.org/0000-0002-8134-8839,sumit chatterji,,,10
https://orcid.org/0000-0003-0792-8322,Joseph D. Monaco,,Columbia University Medical Center,11
https://orcid.org/0000-0001-6462-6676,Jiaxing Xie,,Guangzhou Medical College,24
https://orcid.org/0000-0002-0050-6787,John A. Lewis,,University of Sheffield,98
https://orcid.org/0000-0002-7075-6802,Kathryn,United States,,43
https://orcid.org/0000-0002-2604-0719,Nathan Fisher,,Centre College,18
https://orcid.org/0000-0002-7999-1892,Marco Marques,Portugal,,10
https://orcid.org/0000-0002-9326-6478,Robert Bransfield,United States,Rutgers University New Brunswick,29
https://orcid.org/0000-0002-4895-2831,Lizette Nolte,,,25
https://orcid.org/0000-0002-5044-1336,Chris Jones,New Zealand,University of Durham ,12
https://orcid.org/0000-0001-6185-0410,Asankhaya Sharma,Singapore,National Institute of Technology Warangal,24
https://orcid.org/0000-0002-7682-4714,Rui Machado,,,11
https://orcid.org/0000-0002-1416-8205,Josue Leonardo Castro-Mejia,Denmark,University of Copenhagen,10
https://orcid.org/0000-0002-8893-9498,Sarah McKim,,,14
https://orcid.org/0000-0002-4694-9524,Yurii Mezentsev,Russia,Novosibirsk State Technical University,12
https://orcid.org/0000-0003-4660-0979,Anja Schiemann,,,18
https://orcid.org/0000-0001-6290-2948,Imran Muhammad ,,,15
https://orcid.org/0000-0001-9394-5027,Belen Lahoz,,,13
https://orcid.org/0000-0003-0520-1517,Liudmil Antonov,,,94
https://orcid.org/0000-0002-7270-9612,Stefano Ghirlanda,United States,"University of Rome ""La Sapienza""",52
https://orcid.org/0000-0001-9470-2369,Christopher James Sampson,United Kingdom,University of Nottingham,39
https://orcid.org/0000-0002-7629-5365,V¨¢clava Ad¨¢mkov¨¢,,3rd Medical Faculty,22
https://orcid.org/0000-0002-3984-2059,Barry Lee Reynolds,Macau SAR China,,24
https://orcid.org/0000-0003-0683-9547,Jed Gorden,,,27
https://orcid.org/0000-0001-8393-9344,Peter Nelson Lindfield,,University of St Andrews,28
https://orcid.org/0000-0003-3521-3535,Kathryn Davidson,Australia,,26
https://orcid.org/0000-0001-5907-3798,Juliana Braga,Brazil,Universidade Federal do Piau¨ª,16
https://orcid.org/0000-0003-0582-9048,Luke O'Loughlin,Australia,La Trobe University,20
https://orcid.org/0000-0002-1438-0820,Ling-Yi Lin,,,19
https://orcid.org/0000-0002-6249-4718,Anita Van der Merwe,,University of Pretoria,41
https://orcid.org/0000-0003-0363-8096,Tequila Brooks,,Tilburg University,18
https://orcid.org/0000-0003-0671-4648,Matteo Guelfi,Italy,Universit¨¤ degli Studi G. d'Annunzio Chieti - Pescara,21
https://orcid.org/0000-0002-7047-8814,Torsten Rohlfing,United States,Stanford University School of Medicine,13
https://orcid.org/0000-0002-0404-5420,Lillo R,,,23
https://orcid.org/0000-0001-9938-6844,Vijaykumar Chaudhary,India,Charotar University of Science and Technology Chandubhai S Patel Institute of Technology,38
https://orcid.org/0000-0003-2740-3259,Constantinos P. Zambirinis,,National and Kapodistrian University of Athens - Faculty of Medicine,24
https://orcid.org/0000-0002-0593-9602,Petr Krejci,Czech Republic,,53
https://orcid.org/0000-0003-2433-6126,Conrado A. Bosman,Netherlands,Universidad de Chile,35
https://orcid.org/0000-0003-1168-4818,Charles Martinez,Gibraltar,,10
https://orcid.org/0000-0001-5209-6436,Amin Talebi Bezmin Abadi,Iran,"Faculty of Medical Sciences, Tarbiat Modares University ",59
https://orcid.org/0000-0002-4569-0995,Maria Christina Sanches Muratori,,Universidade Federal de Minas Gerais,62
https://orcid.org/0000-0001-7910-0554,Sinisa Savic,,University of Leeds,79
https://orcid.org/0000-0002-0907-5063,Willemien Du Plessis,South Africa,North-West University Faculty of Law,33
https://orcid.org/0000-0003-1319-6092,Nathalie DESMASURES,,,36
https://orcid.org/0000-0003-3455-8638,Larisa Sogacheva,,,38
https://orcid.org/0000-0003-4503-4602,Vesselin Petrov,,,34
https://orcid.org/0000-0002-6776-5281,Federico Holik,Argentina,Consejo Nacional de Investigaciones Cientificas y Tecnicas,38
https://orcid.org/0000-0002-8352-4234,Roman Brunecky,,University of Colorado Health Sciences Center,35
https://orcid.org/0000-0001-7206-5231,Li-Chung Hsu,Taiwan,University of Illinois at Chicago College of Medicine,28
https://orcid.org/0000-0002-9510-6574,Yulei Sui,,,33
https://orcid.org/0000-0002-7233-7230,Igor Miljanovic,,University of Belgrade. Faculty of Mining and Geology,23
https://orcid.org/0000-0002-9260-2804,Jose Folcj,,,35
https://orcid.org/0000-0002-8009-4865,Congfeng  Xu,China,Medical Center of Fudan University,26
https://orcid.org/0000-0002-4667-8357,Humberto Ortiz-Zuazaga,Puerto Rico,University of Puerto Rico Mayaguez,25
https://orcid.org/0000-0003-2716-5502,Erik Andersson,,Stockholms Universitet Naturvetenskapliga fakulteten,45
https://orcid.org/0000-0003-2304-6661,Orazio De Lucia,Italy,University of Milan,29
https://orcid.org/0000-0002-0205-5094,Yudith del Carmen Gonz¨¢lez Valecillos,Venezuela,Instituto Universitario de Tecnolog¨ªa Antonio Jos¨¦ de Sucre ,4
